Code zone,Code Produit,Code année,Emission indirecte de NO2
54,5062,2019,1.1144
54,5063,2015,0.2128
54,5063,2016,0.2138
54,5063,2017,0.2121
54,5063,2018,0.2082
54,5063,2019,0.2042
54,5064,2015,0.42
54,5064,2016,0.3865
54,5064,2017,0.4209
54,5064,2018,0.2982
54,5064,2019,0.4011
72,5062,2015,0.0042
72,5062,2016,0.0042
72,5062,2017,0.0042
72,5062,2018,0.0042
72,5062,2019,0.0042
72,5063,2015,0.1864
72,5063,2016,0.1857
72,5063,2017,0.1856
72,5063,2018,0.1857
72,5063,2019,0.1857
72,5064,2015,0.0002
72,5064,2016,0.0002
72,5064,2017,0.0002
72,5064,2018,0.0002
72,5064,2019,0.0002
55,5061,2015,0.0016
55,5061,2016,0.0005
55,5061,2017,0.0005
55,5061,2018,0.0003
55,5061,2019,0.0004
55,5062,2015,0.0025
55,5062,2016,0.0025
55,5062,2017,0.0025
55,5062,2018,0.0025
55,5062,2019,0.0026
55,5063,2015,0.0048
55,5063,2016,0.0048
55,5063,2017,0.0048
55,5063,2018,0.0048
55,5063,2019,0.0049
55,5064,2015,0.0
55,5064,2016,0.0
55,5064,2017,0.0
55,5064,2018,0.0
55,5064,2019,0.0
59,5061,2015,6.2333
59,5061,2016,6.5377
59,5061,2017,6.7052
59,5061,2018,6.7052
59,5061,2019,6.6493
59,5062,2015,0.2188
59,5062,2016,0.2209
59,5062,2017,0.2114
59,5062,2018,0.2106
59,5062,2019,0.2193
59,5063,2015,3.9574
59,5063,2016,3.9563
59,5063,2017,3.722
59,5063,2018,3.6016
59,5063,2019,3.7496
59,5064,2015,0.8748
59,5064,2016,0.8743
59,5064,2017,0.8502
59,5064,2018,0.6876
59,5064,2019,0.9107
60,5061,2015,0.2967
60,5061,2016,0.2674
60,5061,2017,0.3077
60,5061,2018,0.2802
60,5061,2019,0.2851
60,5062,2015,0.0986
60,5062,2016,0.0939
60,5062,2017,0.1042
60,5062,2018,0.0941
60,5062,2019,0.0889
60,5063,2015,0.2999
60,5063,2016,0.284
60,5063,2017,0.2663
60,5063,2018,0.2602
60,5063,2019,0.255
60,5064,2015,0.0352
60,5064,2016,0.0418
60,5064,2017,0.0386
60,5064,2018,0.0328
60,5064,2019,0.0394
225,5061,2015,0.0774
225,5061,2016,0.0774
225,5061,2017,0.0774
225,5061,2018,0.0774
225,5061,2019,0.0774
225,5062,2015,0.0188
225,5062,2016,0.0198
225,5062,2017,0.0198
